Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name,clean_text
20771642,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:27:00.000000000,HSR Layout,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 174/Marshal,garbage dump
20771641,Forest,obstructions Branches / Trees.,2025-06-19 09:26:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO,obstruction branch tree
20771640,Electrical,Street Light Not Working,2025-06-19 09:25:00.000000000,BTM Layout,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE,street light working
20771639,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 09:21:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 06/Marshal,garbage dumping vacant site
20771638,Solid Waste (Garbage) Related,Sweeping not done,2025-06-19 09:21:00.000000000,Yelahanka old Satellite Town,Registered,1st Assignment Based on Ward Mapping,JHI Ward 4/JHI,sweeping done
20771637,Electrical,Street Light Not Working,2025-06-19 09:20:00.000000000,Chikkalasandra,Registered,1st Assignment Based on Ward Mapping,Umesh/AE,street light working
20771636,Electrical,Street Light Not Working,2025-06-19 09:19:00.000000000,Bagalagunte,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE,street light working
20771635,Electrical,Street Light Not Working,2025-06-19 09:19:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Jnanesh/JE,street light working
20771634,Road Maintenance(Engg),Road side drains,2025-06-19 09:18:00.000000000,Neelasandra,Registered,1st Assignment Based on Ward Mapping,Harsha/AE,road side drain
20771633,Electrical,Street Light Not Working,2025-06-19 09:18:00.000000000,Sarakki,Registered,1st Assignment Based on Ward Mapping,Umesh/AE,street light working
20771632,Storm  Water Drain(SWD),Sewerage water left in SWD,2025-06-19 09:17:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,Prashanth/AE,sewerage water left swd
